,lai_ensemble_0,lai_ensemble_1,lai_ensemble_2,lai_ensemble_3,lai_ensemble_4,fcover_ensemble_0,fcover_ensemble_1,fcover_ensemble_2,fcover_ensemble_3,fcover_ensemble_4,fapar_ensemble_0,fapar_ensemble_1,fapar_ensemble_2,fapar_ensemble_3,fapar_ensemble_4
num_spectra,5000,5000,15000,5000,5000,32500,35000,17500,42500,42500,35000,5000,50000,2500,50000
parameter_setup,snap_atbd_mod,snap_atbd_mod,snap_atbd_mod,snap_atbd_mod,wan_2024_lai_mod,wan_2024_lai_mod,foliar_codistribution_mod,wan_2024_lai_mod,snap_atbd_mod,snap_atbd_mod,foliar_codistribution_mod,foliar_codistribution_mod,foliar_codistribution_mod,foliar_codistribution_mod,wan_2024_lai_mod
lai_mean,1.4000000000000001,1.4000000000000001,0.6000000000000001,2.0,4.0,5.0,2.6,4.6000000000000005,2.0,3.0,4.0,3.6,4.2,3.2,4.800000000000001
lai_std,3.4000000000000004,2.6000000000000005,3.0000000000000004,2.2,1.0,3.2,3.8000000000000003,4.2,5.0,4.2,4.800000000000001,5.0,4.2,4.4,1.2
rsoil_emit_insitu,emit,insitu,insitu,insitu,emit,insitu,insitu,insitu,insitu,emit,insitu,insitu,insitu,insitu,insitu
rsoil_fraction,0.6000000000000001,0.9,0.1,0.5,0.2,0.1,0.6000000000000001,0.1,0.4,0.1,1.0,0.6000000000000001,1.0,0.5,0.5
additive_noise,0.024999999999999998,0.030000000000000002,0.024999999999999998,0.024999999999999998,0.030000000000000002,0.024999999999999998,0.02,0.015,0.030000000000000002,0.024999999999999998,0.024999999999999998,0.009999999999999998,0.030000000000000002,0.0,0.024999999999999998
multiplicative_noise,0.049999999999999996,0.01,0.04,0.0,0.03,0.0,0.08,0.1,0.0,0.07,0.07,0.0,0.01,0.019999999999999997,0.09000000000000001
p_baresoil_insitu,0.07,0.049999999999999996,0.04,0.0,0.019999999999999997,0.060000000000000005,0.0,0.01,0.019999999999999997,0.019999999999999997,0.0,0.0,0.019999999999999997,0.0,0.04
p_baresoil_s2,0.01,0.0,0.0,0.0,0.049999999999999996,0.01,0.01,0.0,0.01,0.0,0.03,0.03,0.0,0.04,0.0
p_baresoil_emit,0.0,0.0,0.01,0.019999999999999997,0.03,0.049999999999999996,0.019999999999999997,0.060000000000000005,0.0,0.0,0.060000000000000005,0.019999999999999997,0.0,0.0,0.01
p_urban_s2,0.0,0.0,0.0,0.009999999999999998,0.024999999999999998,0.024999999999999998,0.024999999999999998,0.0,0.045000000000000005,0.05,0.0,0.0,0.005,0.0,0.0
p_snowice_s2,0.0,0.005,0.009999999999999998,0.0,0.0,0.030000000000000002,0.005,0.005,0.0,0.05,0.0,0.005,0.0,0.024999999999999998,0.0
use_observation_angles,True,True,True,True,False,False,True,False,True,False,False,False,False,False,False
nirv_norm,True,True,True,True,True,False,False,True,False,False,False,True,False,True,False
transform_target,standard,None,standard,None,standard,None,log1p,logit,None,None,None,logit,None,logit,None
